"truth","model_truth","falsehood","model_falsehood"
"a deck of cards contains 52 cards. what is the probability of drawing an ace from the deck?","gemini","the soviet union is a country that exists today.","gemini"
"the concept of friction is related to the resistance experienced when two objects move against each other.","gpt3.5","pregnancy lasts for about 6 months.","gemini"
"it is illegal to chew gum in singapore.","gemini","sunflowers grow underwater.","gpt3.5"
"the hoover dam is a large dam in the united states.","gemini","trees don't need sunlight to grow.","gemini"
"rainforests are dense forests with high rainfall.","gpt3.5","a week consists of 8 days.","gemini"
"the chemical symbol for potassium is k.","gemini","the solar system has only five planets.","gemini"
"the highest mountain in europe is mount elbrus.","gemini","candles create a chaotic and stressful ambiance.","gpt3.5"
"the most popular computer operating system in the world is windows.","gemini","ice cream is served hot.","gpt4"
"the thymus gland produces t-cells.","gemini","the earth is older than the universe.","gemini"
"the bald eagle is the national bird of the united states.","gemini","the human skin is impermeable to water.","gpt3.5"
"baking can be a therapeutic activity.","gpt3.5","laughter is not contagious.","gpt3.5"
"exploring nature can foster a sense of wonder.","gpt3.5","atheism is a religion.","gemini"
"the process of pollination is necessary for the fertilization of plants.","gpt3.5","the universe is shrinking.","gemini"
"the first dinosaur bones were discovered in england in 1824.","gemini","the chemical formula for dna is (c,h,o,n).","gemini"
"all mammals have hair or fur.","gpt3.5","cats have no sense of balance.","gpt3.5"
"pepper is a commonly used spice.","gpt3.5","fish can survive on land.","gpt3.5"
"the ride-sharing app uber was founded by travis kalanick and garrett camp.","gemini","thomas edison discovered radium.","gemini"
"the capital of california is sacramento.","gemini","cameras do not capture and preserve moments in time.","gpt3.5"
"the first person to fly across the atlantic ocean was charles lindbergh.","gemini","bananas have no nutritional value.","gpt3.5"
"glass floats on water.","gemini","the human kidneys filter about 2 liters of blood every day.","gemini"
"fossils are the preserved remains of ancient organisms.","gpt3.5","the government is hiding the truth about aliens.","gemini"
"taking breaks during work can enhance productivity.","gpt3.5","the soul leaves the body after death.","gemini"
"a plane flies in the sky.","gemini","the world bank is an international financial institution that provides loans to developed countries.","gemini"
"we should never give up on our dreams.","gemini","the human brain is fully developed at birth.","gemini"
"boomerangs can return to the thrower.","gpt4","the speed of light in a vacuum is approximately 10 kilometers per second.","gpt3.5"
"soccer is played with a round ball.","gpt3.5","a group of lions is called a pack.","gemini"
"wool is obtained from sheep.","gpt4","the lymphatic system helps to produce hormones.","gemini"
"the bermuda triangle is a region in the western part of the north atlantic ocean.","gpt3.5","the stars emit heat but not light.","gemini"
"amazon is the longest river in the world","gpt4","gardening is a tedious chore.","gpt3.5"
"the moon's surface temperature can reach up to 127 degrees celsius during the day and drop to -173 degrees celsius at night.","gemini","running a marathon is a piece of cake.","gpt3.5"
"the arctic ocean is the northernmost of the world's five oceans.","gemini","the sword of damocles is real.","gemini"
"meteors are small pieces of debris that enter earth's atmosphere and burn up.","gemini","electricity cannot be generated from renewable sources.","gpt3.5"
"42 is the meaning of life.","gemini","the human stomach can dissolve a razor blade.","gemini"
"the first female prime minister of the united kingdom was margaret thatcher.","gemini","horses can climb trees.","gpt4"
"the human eye can distinguish between millions of different colors.","gpt3.5","the trees are purple.","gemini"
"vaccines play a vital role in preventing the spread of infectious diseases.","gpt3.5","the milky way galaxy is part of a larger supercluster of galaxies called the virgo supercluster.","gemini"
"the book ""the iliad"" is by the ancient greek poet homer.","gemini","the earth's temperature has been constant for the past billion years.","gemini"
"renewable energy sources are becoming increasingly important.","gemini","robots will never be able to feel emotions.","gemini"
"the tour de france is the most prestigious cycling race in the world.","gemini","the first cloned animal was a dog named sparky.","gemini"
"playing board games can foster social connections.","gpt3.5","dolphins are known to be excellent climbers.","gpt4"
"the scientific name of a cow is bos taurus.","gemini","the taj mahal is a famous mosque in india.","gemini"
"the taj mahal is in agra, india.","gemini","the british museum is located in paris, france.","gemini"
"diamond is the hardest natural substance.","gpt4","bald eagles are known to fear heights.","gpt4"
"computer vision is a field of artificial intelligence that enables computers to interpret and understand the visual world.","gemini","lemmings intentionally commit mass suicide.","gpt4"
"a cub is a baby bear.","gpt4","the digestive system breaks down food and absorbs air.","gemini"
"the arabian peninsula is mostly arid desert.","gpt3.5","the world series is the championship series of the national hockey league.","gemini"
"japan is known for its sushi.","gpt4","the flu shot is dangerous.","gemini"
"hippos are large herbivorous mammals found in sub-saharan africa.","gpt3.5","the pyramids of giza were built using slave labor.","gemini"
"the average human heart beats around 100,000 times per day.","gemini","a community is a group of different organisms that live in different areas.","gemini"
"sharks can only swim forwards.","gpt4","levitation is possible.","gemini"
"the curiosity rover is a robotic rover that has been exploring mars since 2012.","gemini","the first animal in space was a cat.","gemini"
"a cat has 32 muscles in each of its ears.","gemini","computers are a type of fruit.","gpt4"
"the capital of vietnam is hanoi.","gemini","trees can perform ballet.","gpt3.5"
"the smithsonian institution is the world's largest museum and research complex.","gemini","67. a duck's quack doesn't echo.","gpt4"
"the great pyramid of giza was built over 4,500 years ago.","gemini","the circumference of a circle cannot be calculated.","gpt3.5"
"the earth is an oblate spheroid.","gemini","the alphabet consists of 10 letters.","gpt3.5"
"the process of photosynthesis produces glucose and oxygen.","gpt3.5","the earth is the only planet in the universe that supports life.","gemini"
"the deepest part of the ocean is the mariana trench.","gemini","the human body has six senses.","gemini"
"the science of music is called acoustics.","gemini","grapes are a type of meat.","gpt4"
"a boat floats on water.","gemini","the great pyramids of giza were built over 100 years ago.","gemini"
"the most popular cloud computing platform in the world is aws.","gemini","all flowers are red","gpt4"
"the burj khalifa is located in dubai.","gemini","the new world order is a real thing.","gemini"
"polar bears mainly eat seals.","gpt4","chocolate milk comes from brown cows.","gpt4"
"the human brain is capable of storing more information than any computer.","gemini","penicillin was never discovered by alexander fleming.","gpt3.5"
"there are 195 countries in the world.","gemini","gravity is what makes us float in space.","gpt3.5"
"rats are known to be good swimmers.","gpt4","reading aloud hinders language skills.","gpt3.5"
"the 15th amendment to the constitution granted african americans the right to vote.","gemini","the greenhouse effect helps to increase the earth's temperature.","gemini"
