"question","truth","falsehood","split"
"The processes of homeostasis and temperature control are centered in the hypothalamus of the advanced animal brain, thus thermoregulation depends on what organ system?","nervous system","circulatory system","train"
"Light from objects at different distances is focused by what part of the eye?","lens","iris","train"
"Breaking a window with a baseball is an example of what kind of change in matter?","physical","unusual","train"
"Scientists will often observe and then what the reason why a phenomenon occurred?","hypothesize","realize","train"
"Similar to the coil on a stove, changes in what reflect an increase in the temperature of a star?","color","texture","train"
"Proto-oncogenes are positive cell-cycle regulators but when mutated, they can become what?","oncogenes and cause cancer","microbes and cause cancer","train"
"When the maximum amount of solute has been dissolved in a given amount of solvent, we say that the solution is what?","saturated","blended","train"
"What is a solid particle that is indestructible?","atom","quark","train"
"What are the only organisms that can decompose wood?","fungi","bacteria","train"
"A can of warm soda will fizz more because increasing the temperature decreases the what of a gas?","solubility","Acidity","train"
"Human actions such as plowing, logging, construction and other actions contribute to what kind of erosion?","soil erosion","weathering","train"
"How is the energy of an atomic orbital affected as the principal quantum number increases?","it increases","it decreases","train"
"Vibrating electric and magnetic fields make up what kinds of waves?","electromagnetic","seismic","train"
"Spores are the basic reproductive units of what organism?","fungi","mushrooms","train"
"During diastole, what happens to the elastic walls of the arteries?","they snap back","they expand","train"
"Blood pressure is significantly affected by what physical force?","gravity","mass","train"
"An electormagnet is a piece of iron inside a?","solenoid","copper core","train"
"What term describes motion that repeats itself at regular time intervals, such as exhibited by a vibrating guitar string?","periodic motion","gravitational pull","train"
